status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
🟢,0,BTC,Bitcoin,secp256k1,sha256,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,1,1
🟢,3,DOGE,Dogecoin,secp256k1,sha256,0x02FAC398,0x02FACAFD,0x1e,0x16,0x9e,,74,10
🟢,60,ETH,Ethereum,secp256k1,keccak256,,,,,,TRUE,1027,10
🟢,144,XRP,Ripple,secp256k1,sha256+ripemp160,,,0x00,0x05,,,,10
🔴,354,DOT,Polkadot,ed25519,,,,,,,,,10
🔴,501,SOL,Solana,ed25519,,,,,,,,,10
🔴,607,TON,TON,secp256k1,sha256,,,,,,,,10
🔴,714,BNB,Binance,secp256k1,sha256,,,,,,,,10
🔴,1815,ADA,Cardano,ed25519,,,,,,,,,10
🔴,9000,AVAX,Avalanche,secp256k1,sha256,,,,,,,,10
🟢,9005,AVAXC,Avalanche C-Chain,secp256k1,keccak256,,,,,,TRUE,,10
🟢,9006,BNB,Binance Smart Chain,secp256k1,keccak256,,,,,,TRUE,,10
🟢,2,LTC,Litecoin,secp256k1,sha256,0x019D9CFE,0x019DA462,0x30,0x32,0xb0,,2,100
🟢,5,DASH,Dash,secp256k1,sha256,,,0x4c,0x10,0xcc,,131,100
🟢,61,ETC,Ethereum Classic,secp256k1,keccak256,,,,,,TRUE,1321,100
🔴,118,ATOM,Cosmos,ed25519,,,,,,,,,100
🔴,128,XMR,Monero,ed25519,keccak256,,,,,,,,100
🟢,145,BCH,Bitcoin Cash,secp256k1,sha256,0x043587CF,0x04358394,0x6f,0xc4,0xef,,,100
🔴,148,XLM,Stellar Lumens,ed25519,sha256,,,,,,,,100
🔴,194,EOS,EOS,secp256k1,sha256,,,,,,,,100
🟢,195,TRX,Tron,secp256k1,keccak256,,,,,,,,100
🟢,236,BSV,BitcoinSV,secp256k1,sha256,,,,,,,,100
🔴,283,ALGO,Algorand,ed25519,,,,,,,,,100
🔴,309,CKB,Nervos CKB,secp256k1,blake2b,,,,,,,,100
🟢,394,CRO,Crypto Chain,secp256k1,keccak256,,,,,,TRUE,,100
🔴,397,NEAR,NEAR Protocol,ed25519,sha256,,,,,,,,100
🔴,461,FIL,Filecoin,bls12-381,blake2b,,,,,,,,100
🔴,472,AR,Arweave,ed25519,sha256,,,,,,,,100
🟢,500,THETA,Theta,secp256k1,keccak256,,,,,,TRUE,,100
🔴,503,CFX,Conflux,secp256k1,sha3-256,,,,,,,,100
🔴,508,EGLD,MultiversX,secp256k1,sha256,,,,,,,,100
🔴,539,FLOW,Flow,secp256r1,sha3-256,,,,,,,,100
🔴,595,POLYX,Polymesh,secp256k1,blake2b,,,,,,,,100
🔴,637,APTOS,Aptos,ed25519,sha3-256,,,,,,,,100
🟢,818,VET,VeChain Token,secp256k1,keccak256,,,,,,,,100
🔴,888,NEO,NEO,secp256k1,ripemd160,,,,,,,,100
🔴,899,XEC,eCash,secp256k1,sha256,,,,,,,,100
🔴,931,RUNE,THORChain (RUNE),secp256k1,sha256,,,,,,,,100
🔴,989,AIOZ,AIOZ,secp256k1,sha256,,,,,,,,100
🔴,1007,FTM,Fantom,secp256k1,sha3-256,,,,,,,,100
🔴,1116,CORE,Core,secp256k1,sha256,,,,,,,,100
🔴,1729,XTZ,Tezos,ed25519|secp256k1,sha256,,,,,,,,100
🔴,3030,HBAR,Hedera HBAR,ed25519,sha3-384,,,,,,,,100
🔴,4218,IOTA,IOTA,ed25519,sha3-256,,,,,,,,100
🔴,5757,STX,Stacks,secp256k1,sha512,,,,,,,,100
🟢,8217,KLAY,KLAY,secp256k1,keccak256,,,,,,,,100
🔴,12586,MINA,Mina,ed25519,pedersen,,,,,,,,100
🔴,111111,KAS,Kaspa,secp256k1,k12,,,,,,,,100
,1,TEST,Testnet (all coins),,,,,,,,,,
,4,RDD,Reddcoin,,,,,0x3d,,0xbd,,118,
,6,PPC,Peercoin,,,,,0x37,0x75,0xb7,,5,
,7,NMC,Namecoin,,,,,0x34,0x0D,0xb4,,3,
🟢,8,FTC,Feathercoin,secp256k1,sha256,0x0488DAEE,0x0488BC26,0x0e,,0x8e,,8,
,9,XCP,Counterparty,,,,,,,,,132,
🟢,10,BLK,Blackcoin,secp256k1,sha256,0x02CFBF60,0x02CFBEDE,0x19,0x55,0x99,,170,
,11,NSR,NuShares,,,,,0x3f,0x40,0x95,,,
,12,NBT,NuBits,,,,,0x19,0x1a,0x96,,,
,13,MZC,Mazacoin,,,,,0x32,0x09,0xe0,,,
,14,VIA,Viacoin,,,,,0x47,0x21,0xc7,,470,
,15,XCH,ClearingHouse,,,,,,,,,,
,16,RBY,Rubycoin,,,,,0x3c,0x55,0xbc,,215,
,17,GRS,Groestlcoin,,,,,0x24,,,,258,
,18,DGC,Digitalcoin,,,,0x9E0488B2,0x1e,,0x9e,,18,
,19,CCN,Cannacoin,,,,,,,,,,
,20,DGB,DigiByte,,,,,0x1e,,,,109,
