status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
✅,0,BTC,Bitcoin,secp256k1,sha256,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,1,10
🟧,1,TEST,Testnet (all coins),,,,,,,,,,
✅,2,LTC,Litecoin,secp256k1,sha256,0x019D9CFE,0x019DA462,0x30,0x32,0xb0,,2,100
✅,3,DOGE,Dogecoin,secp256k1,sha256,0x02FAC398,0x02FACAFD,0x1e,0x16,0x9e,,74,10
✅,4,RDD,Reddcoin,secp256k1,sha256,,,0x3d,,0xbd,,118,
✅,5,DASH,Dash,secp256k1,sha256,,,0x4c,0x10,0xcc,,131,100
✅,6,PPC,Peercoin,secp256k1,sha256,,,0x37,0x75,0xb7,,5,
✅,7,NMC,Namecoin,secp256k1,sha256,,,0x34,0x0D,0xb4,,3,
✅,8,FTC,Feathercoin,secp256k1,sha256,0x0488DAEE,0x0488BC26,0x0e,,0x8e,,8,
🟥,9,XCP,Counterparty,,,,,,,,,132,
✅,10,BLK,Blackcoin,secp256k1,sha256,0x02CFBF60,0x02CFBEDE,0x19,0x55,0x99,,170,
✅,11,NSR,NuShares,secp256k1,sha256,,,0x3f,0x40,0x95,,,
✅,12,NBT,NuBits,secp256k1,sha256,,,0x19,0x1a,0x96,,,
✅,13,MZC,Mazacoin,secp256k1,sha256,,,0x32,0x09,0xe0,,,
✅,14,VIA,Viacoin,secp256k1,sha256,,,0x47,0x21,0xc7,,470,
🟥,15,XCH,ClearingHouse,,,,,,,,,,
✅,16,RBY,Rubycoin,secp256k1,sha256,,,0x3c,0x55,0xbc,,215,
🟧,17,GRS,Groestlcoin,secp256k1,sha256,,,0x24,,0x80,,258,
✅,18,DGC,Digitalcoin,secp256k1,sha256,,0x9E0488B2,0x1e,,0x9e,,18,
🟥,19,CCN,Cannacoin,,,,,,,,,,
✅,20,DGB,DigiByte,secp256k1,sha256,,,0x1e,,,,109,
🟥,21,OA,Open Assets,,,,,,,,,,
✅,22,MONA,Monacoin,secp256k1,sha256,,,0x32,0x37,0xb0,,213,
✅,23,CLAM,Clams,secp256k1,sha256,0xA8C17826,0xA8C26D64,0x89,0x0D,0x85,,460,
🟥,24,XPM,Primecoin,,,,,,,,,42,
✅,25,NEOS,Neoscoin,secp256k1,sha256,,,0x35,,0xb1,,,
✅,26,JBS,Jumbucks,secp256k1,sha256,0x037A6460,0x037A689A,0x2b,,0xab,,,
