index,path,symbol,coin_name,UCID,key_derivation,xprv_priv_header,xprv_pub_header,pub_key_hash,script_hash,wif,main_version_byte,test_version_bytes,evm,comment,status,level
0,0x80000000,BTC,Bitcoin,,secp256k1,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,0x80,0xEF,FALSE,,active,1
1,0x80000001,TEST,Testnet (all coins),,,,,,,,,,,,active,1
2,0x80000002,LTC,Litecoin,2,secp256k1,0x019D9CFE,0x019DA462,0x30,0x32,0xb0,0xB0,0xEF,FALSE,,active,1
3,0x80000003,DOGE,Dogecoin,74,secp256k1,0x02FAC398,0x02FACAFD,0x1e,0x16,0x9e,0x9E,0xF1,FALSE,,active,1
4,0x80000004,RDD,Reddcoin,118,secp256k1,0x0488ADE4,0x0488B21E,0x3d,0x05,0xbd,0xB4,0xEF,FALSE,,zombie,1
5,0x80000005,DASH,Dash,131,secp256k1,0x0488ADE4,0x0488B21E,0x4c,0x10,0xcc,0xCC,0xEF,FALSE,,active,1
6,0x80000006,PPC,Peercoin,5,secp256k1,0x0488ADE4,0x0488B21E,0x37,0x75,0xb7,0xE0,0xEF,FALSE,,zombie,1
7,0x80000007,NMC,Namecoin,3,secp256k1,0x0488ADE4,0x0488B21E,0x34,0x0D,0xb4,0xB9,0xEF,FALSE,,zombie,1
8,0x80000008,FTC,Feathercoin,8,secp256k1,0x0488DAEE,0x0488BC26,0x0e,0x05,0x8e,0x8E,0xEF,FALSE,,zombie,1
9,0x80000009,XCP,Counterparty,132,,,,,,,,,,,zombie,1
10,0x8000000a,BLK,Blackcoin,170,secp256k1,0x02CFBF60,0x02CFBEDE,0x19,0x55,0x99,0x19,,FALSE,,,1
11,0x8000000b,NSR,NuShares,,secp256k1,0x0488ADE4,0x0488B21E,0x3f,0x40,0x95,0x1C,,FALSE,,,1
12,0x8000000c,NBT,NuBits,,secp256k1,0x0488ADE4,0x0488B21E,0x19,0x1a,0x96,0x19,,FALSE,,,1
13,0x8000000d,MZC,Mazacoin,,secp256k1,0x0488ADE4,0x0488B21E,0x32,0x09,0xe0,0x32,,FALSE,,,1
14,0x8000000e,VIA,Viacoin,470,secp256k1,0x0488ADE4,0x0488B21E,0x47,0x21,0xc7,0x47,,FALSE,,,1
15,0x8000000f,XCH,ClearingHouse,,,,,,,,,,,,,1
16,0x80000010,RBY,Rubycoin,215,secp256k1,0x0488ADE4,0x0488B21E,0x3c,0x55,0xbc,0x3C,,FALSE,,,1
17,0x80000011,GRS,Groestlcoin,258,secp256k1,0x0488ADE4,0x0488B21E,0x24,0x05,0x80,0x24,,FALSE,,,1
18,0x80000012,DGC,Digitalcoin,18,secp256k1,0x0488ADE4,0x9E0488B2,0x1e,0x05,0x9e,0x1E,,FALSE,,,1
19,0x80000013,CCN,Cannacoin,,,,,,,,,,,,,1
20,0x80000014,DGB,DigiByte,109,secp256k1,0x0488ADE4,0x0488B21E,0x1e,0x05,0x80,,,FALSE,,,1
