status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,ucid,cmc_top
1,0,BTC,Bitcoin,secp256k1,sha256,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,1,10
0,1,TEST,Testnet (all coins),,,,,,,,,,
1,2,LTC,Litecoin,secp256k1,sha256,0x019D9CFE,0x019DA462,0x30,0x32,0xb0,,2,100
1,3,DOGE,Dogecoin,secp256k1,sha256,0x02FAC398,0x02FACAFD,0x1e,0x16,0x9e,,74,10
1,4,RDD,Reddcoin,secp256k1,sha256,,,0x3d,,0xbd,,118,
1,5,DASH,Dash,secp256k1,sha256,,,0x4c,0x10,0xcc,,131,100
1,6,PPC,Peercoin,secp256k1,sha256,,,0x37,0x75,0xb7,,5,
1,7,NMC,Namecoin,secp256k1,sha256,,,0x34,0x0D,0xb4,,3,
1,8,FTC,Feathercoin,secp256k1,sha256,0x0488DAEE,0x0488BC26,0x0e,,0x8e,,8,
0,9,XCP,Counterparty,,,,,,,,,132,
1,10,BLK,Blackcoin,secp256k1,sha256,0x02CFBF60,0x02CFBEDE,0x19,0x55,0x99,,170,
1,11,NSR,NuShares,secp256k1,sha256,,,0x3f,0x40,0x95,,,
1,12,NBT,NuBits,secp256k1,sha256,,,0x19,0x1a,0x96,,,
1,13,MZC,Mazacoin,secp256k1,sha256,,,0x32,0x09,0xe0,,,
1,14,VIA,Viacoin,secp256k1,sha256,,,0x47,0x21,0xc7,,470,
0,15,XCH,ClearingHouse,,,,,,,,,,
1,16,RBY,Rubycoin,secp256k1,sha256,,,0x3c,0x55,0xbc,,215,
2,17,GRS,Groestlcoin,secp256k1,sha256,,,0x24,,0x80,,258,
1,18,DGC,Digitalcoin,secp256k1,sha256,,0x9E0488B2,0x1e,,0x9e,,18,
0,19,CCN,Cannacoin,,,,,,,,,,
1,20,DGB,DigiByte,secp256k1,sha256,,,0x1e,,,,109,
0,21,OA,Open Assets,,,,,,,,,,
1,22,MONA,Monacoin,secp256k1,sha256,,,0x32,0x37,0xb0,,213,
1,23,CLAM,Clams,secp256k1,sha256,0xA8C17826,0xA8C26D64,0x89,0x0D,0x85,,460,
0,24,XPM,Primecoin,,,,,,,,,42,
1,25,NEOS,Neoscoin,secp256k1,sha256,,,0x35,,0xb1,,,
1,26,JBS,Jumbucks,secp256k1,sha256,0x037A6460,0x037A689A,0x2b,,0xab,,,
0,27,ZRC,ziftrCOIN,,,,,,,,,,
1,28,VTC,Vertcoin,secp256k1,sha256,,,0x47,,,,99,
0,29,NXT,NXT,,,,,,,,,66,
0,30,BURST,Burst,,,,,,,,,,
0,31,MUE,MonetaryUnit,,,,,,,,,,
0,32,ZOOM,Zoom,,,,,,,,,,
0,33,VASH,Virtual Cash,secp256k1,sha256,,,,,,,,
1,34,CDN,Canada eCoin,secp256k1,sha256,,,0x1c,,0x9c,,,
1,35,SDC,ShadowCash,secp256k1,sha256,0xEE8031E8,0xEE80286A,0x3f,0x7d,0xbf,,,
0,36,PKB,ParkByte,,,,,,,,,934,
0,37,PND,Pandacoin,,,,,,,,,,
0,38,START,StartCOIN,,,,,,,,,389,
0,39,MOIN,MOIN,,,,,,,,,,
1,40,EXP,Expanse,secp256k1,keccak256,,,,,,TRUE,1070,
1,41,EMC2,Einsteinium,secp256k1,sha256,,,0x21,,0xa1,,,
0,42,DCR,Decred,secp256k1,blake256,0x02FDA4E8,0x02FDA926,0x073f,0x071a,0x22de,,1168,
0,43,XEM,NEM,,,,,,,,,873,
1,44,PART,Particl,secp256k1,sha256,0x8F1DAEB8,0x696E82D1,0x38,0x3c,0x6c,,1826,
0,45,ARG,Argentum,,,,,,,,,,
0,46,LIBERTAS,Libertas,,,,,,,,,,
1,47,POSW,Posw coin,secp256k1,sha256,,,0x37,0x55,0xb7,,1495,
0,48,SHR,Shreeji,,,,,,,,,,
1,49,GCR,Global Currency Reserve (GCRcoin),secp256k1,sha256,,,0x26,0x61,0x9a,,,
1,50,NVC,Novacoin,secp256k1,sha256,,,0x08,0x14,0x88,,6,
1,51,AC,Asiacoin,secp256k1,sha256,,,0x17,0x08,0x97,,,
0,52,BTCD,BitcoinDark,,,,,,,,,,
0,53,DOPE,Dopecoin,,,,,,,,,145,
0,54,TPC,Templecoin,,,,,,,,,,
0,55,AIB,AIB,,,,,,,,,,
1,56,EDRC,EDRCoin,secp256k1,sha256,,,0x5d,0x1c,0xdd,,1216,
1,57,SYS,Syscoin,secp256k1,sha256,,,0x3f,,,,541,
1,58,SLR,Solarcoin,secp256k1,sha256,,,0x12,,0x92,,,
1,59,SMLY,Smileycoin,secp256k1,sha256,0x1E5631BC,0x1E562D9A,0x19,,0x05,,,
1,60,ETH,Ethereum,secp256k1,keccak256,,,,,,,1027,10
1,61,ETC,Ethereum Classic,secp256k1,keccak256,,,,,,TRUE,1321,100
1,62,PSB,Pesobit,secp256k1,sha256,,,0x37,0x55,0xb7,,,
1,63,LDCN,Landcoin,secp256k1,sha256,,,0x30,0x7a,0x7a,,,
0,64,OC,Open Chain,,,,,,,,,,
1,65,XBC,Bitcoinplus,secp256k1,sha256,,,0x19,0x08,0x99,,293,
1,66,IOP,Internet of People,secp256k1,sha256,0xAE3416F6,0x2780915F,0x75,0xae,0x31,,,
0,67,NXS,Nexus,,,,,,,,,,
1,68,INSN,InsaneCoin,secp256k1,sha256,,,0x66,0x39,0x37,,1678,
1,69,OK,OKCash,secp256k1,sha256,0x03CC1C73,0x03CC23D7,0x37,0x1c,0x03,,760,
1,70,BRIT,BritCoin,secp256k1,sha256,,,0x19,0x55,0x99,,,
1,71,CMP,Compcoin,secp256k1,sha256,,,0x1c,0x55,0x9c,,,
0,72,CRW,Crown,,,,,,,,,720,
1,73,BELA,BelaCoin,secp256k1,sha256,,,0x19,,0x99,,,
0,74,ICX,ICON,,,,,,,,,2099,
1,75,FJC,FujiCoin,secp256k1,sha256,,,0x24,0x10,0xa4,,,
1,76,MIX,MIX,secp256k1,keccak256,,,,,,TRUE,,
1,77,XVG,Verge Currency,secp256k1,sha256,,,0x1e,0x21,0x9e,,693,
1,78,EFL,Electronic Gulden,secp256k1,sha256,,,0x30,,0xb0,,,
1,79,CLUB,ClubCoin,secp256k1,sha256,,,0x1c,0x55,0x99,,1135,
0,80,RICHX,RichCoin,,,,,,,,,,
1,81,POT,Potcoin,secp256k1,sha256,,,0x37,,0xb7,,122,
0,82,QRK,Quarkcoin,,,,,,,,,,
0,83,TRC,Terracoin,,,,,,,,,,
